sec_id,ticker,name,query_term,entity_name,file_date,headline,source_url,form_type,event_text,event_type
35701,DE,Deere & Co.,DE,Deere & Co.,2026-02-19,"LAUREATE EDUCATION, INC.  (LAUR)  (CIK 0000912766)",https://efts.sec.gov/LATEST/search-index?q=%22DE%22&forms=8-K&dateRange=custom&startdt=2026-02-11&enddt=2026-02-20,8-K," LAUREATE EDUCATION, INC.  (LAUR)  (CIK 0000912766)  2.02 7.01 9.01",other
35701,DE,Deere & Co.,DE,Deere & Co.,2026-02-19,"Merchants Bancorp  (MBIN, MBINL, MBINM, MBINN)  (CIK 0001629019)",https://efts.sec.gov/LATEST/search-index?q=%22DE%22&forms=8-K&dateRange=custom&startdt=2026-02-11&enddt=2026-02-20,8-K," Merchants Bancorp  (MBIN, MBINL, MBINM, MBINN)  (CIK 0001629019)  8.01 9.01",other
35701,DE,Deere & Co.,DE,Deere & Co.,2026-02-19,"Nakamoto Inc.  (NAKA, NAKAW)  (CIK 0001946573)",https://efts.sec.gov/LATEST/search-index?q=%22DE%22&forms=8-K&dateRange=custom&startdt=2026-02-11&enddt=2026-02-20,8-K," Nakamoto Inc.  (NAKA, NAKAW)  (CIK 0001946573)  7.01",other
35701,DE,Deere & Co.,DE,Deere & Co.,2026-02-19,"OCCIDENTAL PETROLEUM CORP /DE/  (OXY, OXY-WT)  (CIK 0000797468)",https://efts.sec.gov/LATEST/search-index?q=%22DE%22&forms=8-K&dateRange=custom&startdt=2026-02-11&enddt=2026-02-20,8-K," OCCIDENTAL PETROLEUM CORP /DE/  (OXY, OXY-WT)  (CIK 0000797468)  7.01 9.01",other
35701,DE,Deere & Co.,DE,Deere & Co.,2026-02-19,PAMT CORP  (PAMT)  (CIK 0000798287),https://efts.sec.gov/LATEST/search-index?q=%22DE%22&forms=8-K&dateRange=custom&startdt=2026-02-11&enddt=2026-02-20,8-K, PAMT CORP  (PAMT)  (CIK 0000798287)  2.02 9.01,other
35701,DE,Deere & Co.,DE,Deere & Co.,2026-02-19,"Quarta-Rad, Inc.  (QURT)  (CIK 0001549631)",https://efts.sec.gov/LATEST/search-index?q=%22DE%22&forms=8-K&dateRange=custom&startdt=2026-02-11&enddt=2026-02-20,8-K," Quarta-Rad, Inc.  (QURT)  (CIK 0001549631)  5.02",other
35701,DE,Deere & Co.,DE,Deere & Co.,2026-02-19,SYNOPSYS INC  (SNPS)  (CIK 0000883241),https://efts.sec.gov/LATEST/search-index?q=%22DE%22&forms=8-K&dateRange=custom&startdt=2026-02-11&enddt=2026-02-20,8-K, SYNOPSYS INC  (SNPS)  (CIK 0000883241)  5.02 7.01,other
35701,DE,Deere & Co.,DE,Deere & Co.,2026-02-19,"Spartacus Acquisition Corp. II  (TMTS, TMTSU)  (CIK 0002097364)",https://efts.sec.gov/LATEST/search-index?q=%22DE%22&forms=8-K&dateRange=custom&startdt=2026-02-11&enddt=2026-02-20,8-K," Spartacus Acquisition Corp. II  (TMTS, TMTSU)  (CIK 0002097364)  8.01 9.01",merger
35701,DE,Deere & Co.,DE,Deere & Co.,2026-02-19,"T-Mobile US, Inc.  (TMUS, TMUSI, TMUSL, TMUSZ)  (CIK 0001283699)",https://efts.sec.gov/LATEST/search-index?q=%22DE%22&forms=8-K&dateRange=custom&startdt=2026-02-11&enddt=2026-02-20,8-K," T-Mobile US, Inc.  (TMUS, TMUSI, TMUSL, TMUSZ)  (CIK 0001283699)  8.01 9.01",other
35701,DE,Deere & Co.,DE,Deere & Co.,2026-02-19,"Viper Energy, Inc.  (VNOM)  (CIK 0002074176)",https://efts.sec.gov/LATEST/search-index?q=%22DE%22&forms=8-K&dateRange=custom&startdt=2026-02-11&enddt=2026-02-20,8-K," Viper Energy, Inc.  (VNOM)  (CIK 0002074176)  5.02",other
35701,DE,Deere & Co.,DE,Deere & Co.,2026-02-19,Walmart Inc.  (WMT)  (CIK 0000104169),https://efts.sec.gov/LATEST/search-index?q=%22DE%22&forms=8-K&dateRange=custom&startdt=2026-02-11&enddt=2026-02-20,8-K, Walmart Inc.  (WMT)  (CIK 0000104169)  2.02 9.01,other
35701,DE,Deere & Co.,DE,Deere & Co.,2026-02-19,"urban-gro, Inc.  (UGRO)  (CIK 0001706524)",https://efts.sec.gov/LATEST/search-index?q=%22DE%22&forms=8-K&dateRange=custom&startdt=2026-02-11&enddt=2026-02-20,8-K," urban-gro, Inc.  (UGRO)  (CIK 0001706524)  5.02",other
36672,FDX,Fedex Corp,Fedex,Fedex Corp,2026-02-19,"ConnectM Technology Solutions, Inc.  (CNTM)  (CIK 0001895249)",https://efts.sec.gov/LATEST/search-index?q=%22Fedex%22&forms=8-K&dateRange=custom&startdt=2026-02-11&enddt=2026-02-20,8-K," ConnectM Technology Solutions, Inc.  (CNTM)  (CIK 0001895249)  7.01 9.01",other
3752951,MOAT,VanEck Morningstar Wide Moat ETF,MOAT,VanEck Morningstar Wide Moat ETF,2026-02-19,"Guardant Health, Inc.  (GH)  (CIK 0001576280)",https://efts.sec.gov/LATEST/search-index?q=%22MOAT%22&forms=8-K&dateRange=custom&startdt=2026-02-11&enddt=2026-02-20,8-K," Guardant Health, Inc.  (GH)  (CIK 0001576280)  2.02 9.01",other
3752951,MOAT,VanEck Morningstar Wide Moat ETF,MOAT,VanEck Morningstar Wide Moat ETF,2026-02-19,"ReposiTrak, Inc.  (TRAK)  (CIK 0000050471)",https://efts.sec.gov/LATEST/search-index?q=%22MOAT%22&forms=8-K&dateRange=custom&startdt=2026-02-11&enddt=2026-02-20,8-K," ReposiTrak, Inc.  (TRAK)  (CIK 0000050471)  2.02 7.01 9.01",other
8126151,PSA,Public Storage,PSA,Public Storage,2026-02-19,BANK5 2026-5YR20  (CIK 0002104049),https://efts.sec.gov/LATEST/search-index?q=%22PSA%22&forms=8-K&dateRange=custom&startdt=2026-02-11&enddt=2026-02-20,8-K, BANK5 2026-5YR20  (CIK 0002104049)  8.01 9.01,other
8126151,PSA,Public Storage,PSA,Public Storage,2026-02-19,"GRAIL, Inc.  (GRAL)  (CIK 0001699031)",https://efts.sec.gov/LATEST/search-index?q=%22PSA%22&forms=8-K&dateRange=custom&startdt=2026-02-11&enddt=2026-02-20,8-K," GRAIL, Inc.  (GRAL)  (CIK 0001699031)  2.02 8.01 9.01",other
